阶段,里程碑,任务编号,标题,所属层,前置任务,PRD Story,状态,负责人,开始日期,完成日期,备注
执行,启动行为与点亮收尾,13.9,校验收尾:gateway/v1+新建配置端口/点亮下拉+整体回归,全栈,13.1;13.2;13.3;13.4;13.5;13.6;13.7;13.8,4;5,完成,claude,2026-06-17,2026-06-17,
执行,端点筛选与表单文案,14.1,FilterBar补codex类型+EndpointForm点亮提示改图标tooltip+删两处括号文案,前端,,,完成,claude,2026-06-17,2026-06-17,lite
执行,模型去重与删除弹窗,15.1,/v1/models跨端点去重(大小写不敏)+resolver单测+删除渠道弹窗文案优化,全栈,,,完成,claude,2026-06-17,2026-06-17,lite
规划,关于页与CLI环境检查,16.1,后端tool_env模块移植,后端,,2;3,完成,claude,2026-06-27,2026-06-27,裁剪claude/codex
规划,关于页与CLI环境检查,16.2,前端API层toolEnv+version,前端,16.1,2;3,完成,claude,2026-06-27,2026-06-27,
规划,关于页与CLI环境检查,16.3,About页面骨架与导航接入,前端,,1,完成,claude,2026-06-27,2026-06-27,
规划,关于页与CLI环境检查,16.4,应用信息区AppInfoSection,前端,16.3,1,完成,claude,2026-06-27,2026-06-27,
规划,关于页与CLI环境检查,16.5,本地环境检查LocalEnvCheck UI,前端,16.2;16.4,2;3,完成,claude,2026-06-27,2026-06-27,
规划,关于页与CLI环境检查,16.6,冲突诊断与升级确认弹窗,前端,16.5,3,完成,claude,2026-06-27,2026-06-27,
规划,关于页与CLI环境检查,16.7,i18n与DESIGN样式收口,前端,16.6,1;2,完成,claude,2026-06-27,2026-06-27,
规划,关于页与CLI环境检查,16.8,验证与收尾,全栈,16.1;16.7,1;2;3,完成,claude,2026-06-27,2026-06-27,
规划,关于页与CLI环境检查,16.9,扩展OpenCode检测,全栈,16.5,2;3,完成,claude,2026-06-27,2026-06-27,启用已有Rust分支
规划,关于页与CLI环境检查,16.10,扩展Pi检测,全栈,16.9,2;3,完成,claude,2026-06-27,2026-06-27,npm @earendil-works/pi-coding-agent
执行,熔断模型过滤日志增强,17.1,forward.rs增加模型过滤和熔断选路详细日志+模型匹配检查,后端,,,完成,claude,2026-06-21,2026-06-21,诊断模型误路由问题
执行,错误监控与UA适配,18.1,OpenAI-Codex默认UA适配,后端,,3,完成,claude,2026-06-22,2026-06-22,
执行,错误监控与UA适配,18.2,后端错误体链路,后端,,1,完成,claude,2026-06-22,2026-06-22,
执行,错误监控与UA适配,18.3,403熔断分类,后端,,2,完成,claude,2026-06-22,2026-06-22,
执行,错误监控与UA适配,18.4,验证与收尾,全栈,18.2;18.3;18.1;18.5,1;2;3,待开始,claude,2026-06-22,,
执行,错误监控与UA适配,18.5,前端错误详情与设置文案,前端,,1;3,完成,claude,2026-06-22,2026-06-22,
规划,设置页卡片布局,19.1,布局primitive抽取,前端,,1,完成,claude,2026-06-27,2026-06-27,SettingsGrid/SettingCard/Row
规划,设置页卡片布局,19.2,Settings卡片拆分,前端,19.1,1,完成,claude,2026-06-27,2026-06-27,
规划,设置页卡片布局,19.3,Settings index双栏重组,前端,19.2,1,完成,claude,2026-06-27,2026-06-27,
规划,设置页卡片布局,19.4,移除UpdateSection与TokenCounter,前端,19.3,2,完成,claude,2026-06-27,2026-06-27,
规划,设置页卡片布局,19.5,构建验证与人工清单,全栈,19.1;19.2;19.3;19.4,1;2,完成,claude,2026-06-27,2026-06-27,
规划,日志页卡片布局,20.1,LogCard 组件(LogRow 卡片化),前端,,1,完成,claude,2026-06-27,2026-06-27,
规划,日志页卡片布局,20.2,Logs/index 列表容器调整,前端,20.1,1,完成,claude,2026-06-27,2026-06-27,
规划,日志页卡片布局,20.3,LogRow 单测与构建验证,全栈,20.1;20.2,1;2,完成,claude,2026-06-27,2026-06-27,
规划,cc-switch 配置迁移,21.1,后端 reader+mapper(只读 cc-switch.db+按 app 解析+跳过规则)+单测,后端,,1,完成,claude,2026-06-28,2026-06-28,
规划,cc-switch 配置迁移,21.2,url_normalize 规整+单测(示例表全覆盖),后端,21.1,1,完成,claude,2026-06-28,2026-06-28,
规划,cc-switch 配置迁移,21.3,preview_cc_switch_import 命令(只读识别不写库)+lib.rs 注册,后端,21.1;21.2,1,完成,claude,2026-06-28,2026-06-28,
规划,cc-switch 配置迁移,21.4,import_cc_switch_providers 命令(探测+写库+同名重命名+emit)+注册,后端,21.3,1,完成,claude,2026-06-28,2026-06-28,
规划,cc-switch 配置迁移,21.5,前端 service+类型(PreviewItem/ImportSummary/preview/import),前端,21.3;21.4,1,完成,claude,2026-06-28,2026-06-28,
规划,cc-switch 配置迁移,21.6,前端迁移卡片+勾选弹窗(逐选/全选/计数/置灰)+Sync 接入,前端,21.5,1,完成,claude,2026-06-28,2026-06-28,
规划,cc-switch 配置迁移,21.7,验证收尾:cargo test+check+tsc+vitest+人工清单+scoped 提交,全栈,21.4;21.6,1,完成,claude,2026-06-28,2026-06-28,
执行,React Query 缓存治理,22.1,统一 config 查询(app-config→config),前端,,1,完成,claude,2026-07-04,2026-07-04,
执行,React Query 缓存治理,22.2,useProxyStatus hook+ServiceCard 迁移+删 store,前端,,1,完成,claude,2026-07-04,2026-07-04,
执行,React Query 缓存治理,22.3,后端 set_config 根因修复(needs_restart emit)+单测,后端,,1,完成,claude,2026-07-04,2026-07-04,
执行,React Query 缓存治理,22.4,useEndpointHealthEvents 精确化失效(按事件拆分),前端,22.2,1,完成,claude,2026-07-04,2026-07-04,
执行,React Query 缓存治理,22.5,useAutostartEnabled+useRequestLogs 抽取,前端,,1,完成,claude,2026-07-04,2026-07-04,
执行,React Query 缓存治理,22.6,整体回归+核对清单+scoped 提交,全栈,22.1;22.2;22.3;22.4;22.5,1,完成,claude,2026-07-04,2026-07-04,
执行,端点测试恢复可用,23.1,BreakerRegistry::force_close 公开方法+单测,后端,,1,完成,claude,2026-07-04,2026-07-04,
执行,端点测试恢复可用,23.2,test_endpoint 成功闭合熔断+emit_health_changed,后端,23.1,1,完成,claude,2026-07-04,2026-07-04,
执行,端点测试恢复可用,23.3,EndpointCard test onSuccess 失效 endpoint-health,前端,,1,完成,claude,2026-07-04,2026-07-04,
执行,端点测试恢复可用,23.4,整体回归+核对清单+scoped 提交,全栈,23.1;23.2;23.3,1,完成,claude,2026-07-04,2026-07-04,
执行,端点操作按钮新布局,24.1,EndpointCard 更多操作菜单+删除确认,前端,,,完成,claude,2026-07-04,2026-07-04,lite
